City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Cabatuan,PH,10.88,122.49,76.75,87,74,8.66,heavy intensity rain
273,Zhigansk,RU,66.77,123.37,-12.86,90,88,3.31,overcast clouds
274,Klaksvik,FO,62.23,-6.59,48.2,100,90,19.46,drizzle
275,Rio Cuarto,AR,-33.13,-64.35,78.01,33,40,20.8,scattered clouds
276,Pringsewu,ID,-5.36,104.97,73.81,87,92,1.72,overcast clouds
277,Saint George,US,37.1,-113.58,59.0,30,1,5.82,clear sky
278,Mecca,SA,21.43,39.83,80.28,54,31,7.56,scattered clouds
279,Ravar,IR,31.27,56.81,57.38,34,3,3.85,clear sky
280,Katsuura,JP,35.13,140.3,64.99,71,75,1.12,broken clouds
281,Port Lincoln,AU,-34.73,135.87,53.87,79,0,10.71,clear sky
282,Andenes,NO,69.31,16.12,44.6,65,75,42.5,broken clouds
283,Khatanga,RU,71.97,102.5,-4.94,91,99,1.52,overcast clouds
284,Altamira,BR,-3.2,-52.21,84.2,74,90,5.82,moderate rain
285,Farmington,US,36.73,-108.22,44.6,48,1,9.17,clear sky
286,Dunedin,NZ,-45.87,170.5,54.0,82,72,3.06,broken clouds
287,Copacabana,CO,6.35,-75.51,59.0,100,90,6.93,shower rain
288,Omboue,GA,-1.57,9.26,80.04,78,44,11.01,scattered clouds
289,Amahai,ID,-3.33,128.92,82.0,91,100,1.01,overcast clouds
290,Saint Anthony,US,45.02,-93.22,64.99,44,1,11.41,clear sky
291,Eenhana,NA,-17.47,16.33,102.2,9,0,9.17,clear sky
292,Sisimiut,GL,66.94,-53.67,16.83,85,100,15.75,overcast clouds
293,Lagoa,PT,39.05,-27.98,60.49,61,82,12.01,broken clouds
294,Kabalo,CD,-6.05,26.92,75.47,90,68,3.22,light rain
295,Moerai,PF,-22.43,-151.33,76.57,85,99,13.47,light rain
296,Palmer,US,42.16,-72.33,64.99,59,20,8.05,few clouds
297,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,75,11.41,broken clouds
298,Ucluelet,CA,48.93,-125.55,36.0,66,20,4.23,few clouds
299,Fort Nelson,CA,58.81,-122.7,-0.4,77,75,6.93,broken clouds
300,Ashington,GB,50.93,-0.39,53.6,66,0,11.41,clear sky
301,Hambantota,LK,6.12,81.12,75.2,100,40,3.36,scattered clouds
302,Ust-Tsilma,RU,65.44,52.15,36.0,97,100,2.68,overcast clouds
303,Vila Franca Do Campo,PT,37.72,-25.43,66.2,55,20,11.41,few clouds
304,Smithers,CA,54.78,-127.17,26.6,92,20,2.24,few clouds
305,Cururupu,BR,-1.83,-44.87,88.57,56,73,8.79,broken clouds
306,Mahebourg,MU,-20.41,57.7,73.4,73,75,9.17,broken clouds
307,Carnduff,CA,49.17,-101.8,47.79,69,78,8.77,broken clouds
308,Dzhebariki-Khaya,RU,62.22,135.8,-10.91,88,0,2.75,clear sky
309,Suba,PH,10.84,121.01,83.05,80,43,19.51,scattered clouds
310,Tarauaca,BR,-8.16,-70.77,97.59,37,100,3.36,overcast clouds
311,Filingue,NE,14.35,3.32,95.61,12,91,8.43,overcast clouds
312,Ginda,IN,30.69,78.49,49.19,47,0,5.37,clear sky
313,Ambilobe,MG,-13.2,49.05,78.22,72,26,1.63,scattered clouds
314,Callaway,US,30.15,-85.57,73.99,78,1,10.29,clear sky
315,Abancay,PE,-13.63,-72.88,55.4,54,40,9.17,scattered clouds
316,Gat,IL,31.61,34.76,69.01,71,26,4.61,scattered clouds
317,Noyabrsk,RU,63.2,75.45,33.31,97,98,11.45,overcast clouds
318,Ribeira Grande,PT,38.52,-28.7,66.2,55,40,10.29,scattered clouds
319,Cabo San Lucas,MX,22.89,-109.91,75.2,78,5,3.36,clear sky
320,Brookhaven,US,31.58,-90.44,68.0,87,0,5.79,clear sky
321,Ostrovnoy,RU,68.05,39.51,36.5,88,92,4.9,overcast clouds
322,Jiaozuo,CN,35.24,113.23,57.56,33,0,6.33,clear sky
323,Atar,MR,20.52,-13.05,100.4,29,94,9.17,overcast clouds
324,Lata,PT,40.16,-8.33,62.01,89,100,1.01,light rain
325,Paramonga,PE,-10.67,-77.83,68.27,64,43,9.95,scattered clouds
326,Port Hawkesbury,CA,45.62,-61.35,61.0,77,75,11.41,broken clouds
327,Lompoc,US,34.64,-120.46,59.0,82,90,10.29,overcast clouds
328,Tual,ID,-5.67,132.75,82.4,79,28,10.96,scattered clouds
329,Xiongyue,CN,40.18,122.12,52.72,59,0,7.63,clear sky
330,Ancud,CL,-41.87,-73.82,55.4,58,40,10.29,scattered clouds
331,Labuhan,ID,-6.88,112.21,80.56,82,84,9.53,broken clouds
332,Karpogory,RU,64.0,44.45,36.72,89,100,5.48,overcast clouds
333,Abu Samrah,SY,35.3,37.18,63.5,59,1,3.15,clear sky
334,Turukhansk,RU,65.82,87.98,9.09,89,100,12.97,overcast clouds
335,Dinar,TR,38.06,30.17,57.2,50,40,11.41,scattered clouds
336,Qinggang,CN,46.68,126.08,32.54,86,99,9.4,overcast clouds
337,Rio Grande,BR,-32.03,-52.1,71.01,83,75,21.92,broken clouds
338,Alihe,CN,50.57,123.72,22.1,96,46,2.15,scattered clouds
339,San Policarpo,PH,12.18,125.51,81.79,85,100,11.27,overcast clouds
340,Margate,GB,51.38,1.39,53.01,59,44,4.0,scattered clouds
341,Benghazi,LY,32.12,20.07,70.41,66,43,15.52,scattered clouds
342,Kijang,KR,35.24,129.21,59.0,58,75,3.36,broken clouds
343,Lokosovo,RU,61.13,74.82,34.39,97,100,8.55,overcast clouds
344,Kahta,TR,37.79,38.62,53.6,100,75,5.82,broken clouds
345,Douentza,ML,15.0,-2.95,99.16,11,4,12.95,clear sky
346,Kushima,JP,31.46,131.23,68.83,94,100,7.36,overcast clouds
347,Puerto Leguizamo,CO,-0.19,-74.78,93.09,49,81,2.84,broken clouds
348,Athabasca,CA,54.72,-113.29,23.0,79,69,6.93,broken clouds
349,Tomatlan,MX,19.93,-105.25,83.46,47,0,2.28,clear sky
350,Vanavara,RU,60.34,102.28,-4.34,90,1,3.65,clear sky
351,Fez,MA,34.04,-5.0,73.4,49,40,8.05,scattered clouds
352,Kruisfontein,ZA,-34.0,24.73,59.0,92,100,5.01,light rain
353,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,58,40,5.82,scattered clouds
354,Yuci,CN,37.68,112.73,44.6,30,0,4.47,clear sky
355,Nemuro,JP,43.32,145.57,55.85,74,100,22.01,overcast clouds
356,Mehran,IR,33.12,46.16,64.4,31,75,6.93,broken clouds
